Player_Name,Avg_Runs_Per_Match
"Devon Conway",39.00
"B. Sai Sudharsan",37.13
"David Warner",35.38
"Ruturaj Gaikwad",34.21
"Jonny Bairstow",33.57
"Jos Buttler",33.34
"Virat Kohli",32.45
"KL Rahul",32.02
"Shubman Gill",29.81
"Rajat Patidar",29.69
"Faf du Plessis",29.64
"Venkatesh Iyer",28.86
"Shikhar Dhawan",28.70
"Rishabh Pant",28.61
"Quinton de Kock",28.50
"Yashasvi Jaiswal",27.63
"Devdutt Padikkal",26.68
"Atharva Taide",26.57
"Shivam Dube",26.13
"Nitish Rana",25.62
"Sanju Samson",25.44
"Shreyas Iyer",25.03
"Rohit Sharma",24.95
"Phil Salt",24.22
"Prithvi Shaw",23.38
"Vijay Shankar",23.38
"Ishan Kishan",23.36
"Suryakumar Yadav",22.61
"Kane Williamson",22.27
"Ajinkya Rahane",22.18
"Rahul Tripathi",21.87
"Manish Pandey",21.55
"Abhishek Sharma",21.00
"Jitesh Sharma",20.79
"Rahmanullah Gurbaz",20.64
"Nicholas Pooran",20.40
"MS Dhoni",20.30
"David Miller",20.05
"Mayank Agarwal",19.40
"Abdul Samad",18.78
"Shimron Hetmyer",18.61
"Dinesh Karthik",18.48
"Heinrich Klaasen",18.19
"Travis Head",18.00
"Wriddhiman Saha",17.95
"Nehal Wadhera",17.21
"Rinku Singh",16.87
"Anmolpreet Singh",16.25
"Hardik Pandya",15.33
"Prabhsimran Singh",14.51
"Rilee Rossouw",14.41
"K.S Bharat",13.94
"Shahrukh Khan",13.23
"Abhinav Manohar",13.08
"Tim David",12.90
"Mahipal Lomror",11.83
"Dhruv Jurel",11.69
"Matthew Wade",11.52
"Prerak Mankad",11.30
"Riyan Parag",11.14
"Sherfane Rutherford",11.00
"Suyash S Prabhudessai",10.20
"Harpreet Bhatia",9.58
"Vishnu Vinod",9.33
"Anuj Rawat",8.75
"Liam Livingstone",8.40
"Abishek Porel",8.25
"Sanvir Singh",5.50
"Yash Dhull",4.00
"Ricky Bhui",3.50
"Tristan Stubbs",1.00
"Ashton Turner",0.75
"Karn Sharma",0.00
"Romario Shepherd",0.00
