Player_Name,total_wickets_taken
"MS Dhoni",16
"Wriddhiman Saha",16
"Manish Pandey",16
"Dinesh Karthik",16
"Ajinkya Rahane",14
"Shikhar Dhawan",14
"David Warner",13
"Mayank Agarwal",13
"David Miller",12
"Sanju Samson",11
"KL Rahul",10
"Suryakumar Yadav",10
"Quinton de Kock",10
"Faf du Plessis",10
"Virat Kohli",9
"Ishan Kishan",8
"Jos Buttler",8
"Rohit Sharma",8
"Rishabh Pant",7
"Shreyas Iyer",7
"Kane Williamson",7
"Prithvi Shaw",6
"Shubman Gill",6
"Rahul Tripathi",6
"Shimron Hetmyer",5
"Nicholas Pooran",5
"Rinku Singh",5
"Prabhsimran Singh",5
"Devdutt Padikkal",4
"Harpreet Bhatia",4
"Ruturaj Gaikwad",4
"Jonny Bairstow",4
"Shahrukh Khan",3
"Anuj Rawat",3
"Tim David",3
"Yashasvi Jaiswal",3
"Rilee Rossouw",3
"Anmolpreet Singh",3
"Heinrich Klaasen",3
"Hardik Pandya",2
"Jitesh Sharma",2
"Devon Conway",2
"Ricky Bhui",2
"Rajat Patidar",2
"Matthew Wade",2
"Abhinav Manohar",2
"Vijay Shankar",2
"Suyash S Prabhudessai",2
"Mahipal Lomror",2
"K.S Bharat",2
"Prerak Mankad",2
"B. Sai Sudharsan",2
"Vishnu Vinod",2
"Yash Dhull",1
"Shivam Dube",1
"Venkatesh Iyer",1
"Dhruv Jurel",1
"Riyan Parag",1
"Romario Shepherd",1
"Nehal Wadhera",1
"Phil Salt",1
"Ashton Turner",1
"Sherfane Rutherford",1
"Nitish Rana",1
"Liam Livingstone",1
"Karn Sharma",1
"Abdul Samad",1
"Rahmanullah Gurbaz",1
"Abishek Porel",1
"Atharva Taide",1
"Tristan Stubbs",1
"Travis Head",1
"Abhishek Sharma",1
"Sanvir Singh",1
